{'date': '20231228172846', 'mission': 'ORBONE', 'device_type': 'satelite', 'device_status': 'excellent', 'hash': 1797960574795543807}
{'date': '20231228172846', 'mission': 'ORBONE', 'device_type': 'satelite', 'device_status': 'unknown', 'hash': 1797960574795543807}
{'date': '20231228172921', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228172921', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228172921', 'mission': 'GALXONE', 'device_type': 'traje', 'device_status': 'killed', 'hash': -8243802476916356198}
{'date': '20231228172921', 'mission': 'GALXONE', 'device_type': 'traje', 'device_status': 'faulty', 'hash': -8243802476916356198}
{'date': '20231228173000', 'mission': 'TMRS', 'device_type': 'satelite', 'device_status': 'excellent', 'hash': 1201625922750049522}
{'date': '20231228173015', 'mission': 'TMRS', 'device_type': 'nave', 'device_status': 'killed', 'hash': 251580872246285058}
{'date': '20231228173504', 'mission': 'TMRS', 'device_type': 'traje', 'device_status': 'faulty', 'hash': -6700935717577563145}
{'date': '20231228173519', 'mission': 'TMRS', 'device_type': 'satelite', 'device_status': 'warning', 'hash': 5456262116004635371}
{'date': '20231228173735', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228173736', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228174145', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228174145', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228174145', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228174145', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
{'date': '20231228175149', 'mission': 'UNKN', 'device_type': 'unknown', 'device_status': 'unknown', 'hash': ''}
