date,mission,device_type,device_status,hash
20231228172921,UNKN,unknown,unknown,
20231228172921,UNKN,unknown,unknown,
date,mission,device_type,device_status,hash
20231228173735,UNKN,unknown,unknown,123
20231228173736,UNKN,unknown,unknown,
date,mission,device_type,device_status,hash
20231228174145,UNKN,unknown,unknown,
20231228174145,UNKN,unknown,unknown,
20231228174145,UNKN,unknown,unknown,
20231228174145,UNKN,unknown,unknown,
date,mission,device_type,device_status,hash
20231228175149,UNKN,unknown,unknown,
20231228175149,UNKN,unknown,unknown,
20231228175149,UNKN,unknown,unknown,
20231228175149,UNKN,unknown,unknown,
date,mission,device_type,device_status,hash
20231228175333,CLNM,transbordador,faulty,832076518497352131
20231228175333,CLNM,satelite,unknown,-528581490050787179
20231228175333,CLNM,traje,killed,-5376622809299685001
20231228175333,CLNM,nave,killed,409136506020469990
date,mission,device_type,device_status,hash
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,satelite,faulty,-6625544497731334568
20231228175654,TMRS,satelite,excellent,-6625544497731334568
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,transbordador,excellent,-342232800976489755
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,transbordador,excellent,-342232800976489755
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,transbordador,unknown,-342232800976489755
20231228175654,TMRS,satelite,excellent,-6625544497731334568
20231228175654,TMRS,transbordador,unknown,-342232800976489755
20231228175654,TMRS,satelite,unknown,-6625544497731334568
20231228175654,TMRS,traje,killed,3301273444179910831
20231228175654,TMRS,transbordador,excellent,-342232800976489755
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,nave,excellent,-2446771713884996998
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,nave,excellent,-2446771713884996998
20231228175654,TMRS,traje,faulty,3301273444179910831
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,nave,killed,-2446771713884996998
20231228175654,TMRS,transbordador,killed,-342232800976489755
20231228175654,TMRS,traje,warning,3301273444179910831
20231228175654,TMRS,satelite,faulty,-6625544497731334568
20231228175654,TMRS,transbordador,faulty,-342232800976489755
20231228175654,TMRS,satelite,unknown,-6625544497731334568
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,traje,faulty,3301273444179910831
20231228175654,TMRS,satelite,killed,-6625544497731334568
20231228175654,TMRS,traje,faulty,3301273444179910831
20231228175654,TMRS,traje,warning,3301273444179910831
20231228175654,TMRS,transbordador,faulty,-342232800976489755
20231228175654,TMRS,nave,excellent,-2446771713884996998
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,nave,faulty,-2446771713884996998
20231228175654,TMRS,satelite,faulty,-6625544497731334568
20231228175654,TMRS,nave,excellent,-2446771713884996998
20231228175654,TMRS,transbordador,killed,-342232800976489755
20231228175654,TMRS,transbordador,faulty,-342232800976489755
20231228175654,TMRS,transbordador,warning,-342232800976489755
20231228175654,TMRS,satelite,warning,-6625544497731334568
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,satelite,faulty,-6625544497731334568
20231228175654,TMRS,traje,killed,3301273444179910831
20231228175654,TMRS,traje,unknown,3301273444179910831
20231228175654,TMRS,satelite,unknown,-6625544497731334568
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,traje,faulty,3301273444179910831
20231228175654,TMRS,satelite,unknown,-6625544497731334568
20231228175654,TMRS,nave,killed,-2446771713884996998
20231228175654,TMRS,transbordador,unknown,-342232800976489755
20231228175654,TMRS,satelite,killed,-6625544497731334568
20231228175654,TMRS,nave,killed,-2446771713884996998
20231228175654,TMRS,transbordador,faulty,-342232800976489755
20231228175654,TMRS,satelite,faulty,-6625544497731334568
20231228175654,TMRS,nave,excellent,-2446771713884996998
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,transbordador,excellent,-342232800976489755
20231228175654,TMRS,traje,warning,3301273444179910831
20231228175654,TMRS,traje,killed,3301273444179910831
20231228175654,TMRS,satelite,excellent,-6625544497731334568
20231228175654,TMRS,satelite,killed,-6625544497731334568
20231228175654,TMRS,nave,faulty,-2446771713884996998
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,satelite,warning,-6625544497731334568
20231228175654,TMRS,satelite,excellent,-6625544497731334568
20231228175654,TMRS,traje,faulty,3301273444179910831
20231228175654,TMRS,transbordador,excellent,-342232800976489755
20231228175654,TMRS,nave,excellent,-2446771713884996998
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,traje,excellent,3301273444179910831
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,transbordador,faulty,-342232800976489755
20231228175654,TMRS,nave,warning,-2446771713884996998
20231228175654,TMRS,nave,killed,-2446771713884996998
20231228175654,TMRS,transbordador,unknown,-342232800976489755
20231228175654,TMRS,transbordador,unknown,-342232800976489755
20231228175654,TMRS,transbordador,warning,-342232800976489755
20231228175654,TMRS,nave,faulty,-2446771713884996998
20231228175654,TMRS,traje,killed,3301273444179910831
20231228175654,TMRS,nave,killed,-2446771713884996998
20231228175654,TMRS,satelite,faulty,-6625544497731334568
